Domaine,Code,Intitulé,Dimension,Contexte,Type,Statut,Notes
Laurentia,LAU-08,Laurentia Human Authority & Escalation,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Laurentia,LAU-09,Laurentia Memory & Continuity,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Laurentia,LAU-10,Laurentia Executive Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
CVLN Wallet,WAL-19,CVLN Wallet Operator,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
CVLN Wallet,WAL-20,CC/JCC Monetary Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
CVLN Wallet,WAL-21,CVLN Ledger Operator,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
CVLN Wallet,WAL-22,Coffres & Allocation Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
CVLN Wallet,WAL-23,CVLN Payment & Transfer Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
CVLN Wallet,WAL-24,CVLN Card Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
CVLN Wallet,WAL-25,CVLN Marketplace Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
CVLN Wallet,WAL-26,Settlement & Reconciliation Operator,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
CVLN Wallet,WAL-27,Financial Incident & Kill-Switch Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
CVLN Wallet,WAL-28,Wallet Audit & Evidence Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Gala Cook & Food,GCF-19,Gala Cook & Food Operator,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Gala Cook & Food,GCF-20,Kitchen Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Gala Cook & Food,GCF-21,Supplier & Procurement Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Gala Cook & Food,GCF-22,"Stock, Traceability & Waste Operations",SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Gala Cook & Food,GCF-23,Recipe & Production Standardization,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Gala Cook & Food,GCF-24,Catering Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Gala Cook & Food,GCF-25,Gala Event Food Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Gala Cook & Food,GCF-26,Quality & Food Safety Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Gala Cook & Food,GCF-27,Customer & Hospitality Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Gala Cook & Food,GCF-28,Commercial & Booking Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Gala Cook & Food,GCF-29,Cost & Margin Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Gala Cook & Food,GCF-30,Gala Cook & Food Management,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Good Mood,GMD-21,Good Mood OS Operator,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Good Mood,GMD-22,Catalogue Operator,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Good Mood,GMD-23,Event Operator,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Good Mood,GMD-24,Ticket Type & Sales Operator,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Good Mood,GMD-25,Door Scan & Access Operator,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Good Mood,GMD-26,Fan CRM Operator,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Good Mood,GMD-27,Merch & Store Operator,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Good Mood,GMD-28,Orders & Payment Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Good Mood,GMD-29,Newsletter & Campaign Operator,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Good Mood,GMD-30,Event Reporting Operator,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Good Mood,GMD-31,FREK Outbox Operator,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Good Mood,GMD-32,Wallet Ticket Integration Operator,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Good Mood,GMD-33,Good Mood Admin & Security Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Good Mood,GMD-34,Good Mood Incident & Recovery Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
CVLN CyberSecure,CYB-31,CVLN Security Architecture,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
CVLN CyberSecure,CYB-32,CVLN Identity & Access Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
CVLN CyberSecure,CYB-33,CVLN Secrets & Key Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
CVLN CyberSecure,CYB-34,CVLN API Security Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
CVLN CyberSecure,CYB-35,CVLN Production Security,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
CVLN CyberSecure,CYB-36,CVLN Security Monitoring & Command,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
CVLN CyberSecure,CYB-37,CVLN Vulnerability & Patch Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
CVLN CyberSecure,CYB-38,CVLN Incident Response Operator,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
CVLN CyberSecure,CYB-39,CVLN Evidence & Security Audit,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
CVLN CyberSecure,CYB-40,"CVLN Backup, Recovery & Resilience",SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
CVLN CyberSecure,CYB-41,CVLN Security Review & Release Gate,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
CVLN CyberSecure,CYB-42,CVLN Red-Team / Defensive Validation,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Blockchain Innovations,BCI-31,CVLN Blockchain Architecture Operator,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Blockchain Innovations,BCI-32,CVLN Digital Asset Registry Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Blockchain Innovations,BCI-33,CVLN Token Lifecycle Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Blockchain Innovations,BCI-34,Issuance & Supply Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Blockchain Innovations,BCI-35,Treasury Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Blockchain Innovations,BCI-36,Smart Contract Deployment & Upgrade Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Blockchain Innovations,BCI-37,On-chain Monitoring & Reconciliation,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Blockchain Innovations,BCI-38,Blockchain Incident & Emergency Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Blockchain Innovations,BCI-39,Blockchain Governance Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Blockchain Innovations,BCI-40,Blockchain Audit & Evidence Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
CVLN Group,GRP-59,CVLN Group Foundations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
CVLN Group,GRP-60,CVLN Ecosystem Architecture,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
CVLN Group,GRP-61,CVLN Entity & Subsidiary Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
CVLN Group,GRP-62,CVLN Governance Operator,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
CVLN Group,GRP-63,CVLN Executive Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
CVLN Group,GRP-64,CVLN Finance & Performance Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
CVLN Group,GRP-65,CVLN Intercompany Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
CVLN Group,GRP-66,CVLN Strategic Project Management,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
CVLN Group,GRP-67,CVLN Partnership Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
CVLN Group,GRP-68,CVLN Investment & Capital Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
CVLN Group,GRP-69,CVLN Risk & Internal Control,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
CVLN Group,GRP-70,CVLN Group Audit & Evidence,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
CVLN Group,GRP-71,CVLN International Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
CVLN Group,GRP-72,CVLN Executive Decision & Authority,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
CVE,CVE-01,Cultural Value Economics Foundations,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
CVE,CVE-02,Cultural Value Measurement,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
CVE,CVE-03,Cultural Contribution & Attribution,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
CVE,CVE-04,CES & Cultural Engagement Signals,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
CVE,CVE-05,ρ / Cultural Relationship & Value Dynamics,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
CVE,CVE-06,Shapley Value for Cultural Contribution,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
CVE,CVE-07,Nebula Cultural Value Modeling,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
CVE,CVE-08,VCF — Value/Contribution Framework,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
CVE,CVE-09,UVC Allocation & Distribution,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
CVE,CVE-10,Cultural Revenue Allocation,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
CVE,CVE-11,Creator & Contributor Economics,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
CVE,CVE-12,Cultural Network Economics,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
CVE,CVE-13,CVE Simulation & Scenario Analysis,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
CVE,CVE-14,"CVE Data, Explainability & Audit",SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
CVE,CVE-15,CVE Governance & Economic Policy,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
Intelligence OS,IOS-01,CVLN Intelligence OS Foundations,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
Intelligence OS,IOS-02,Ecosystem Architecture & Registry,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
Intelligence OS,IOS-03,Identity Primitive Operations,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
Intelligence OS,IOS-04,Context Primitive Operations,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
Intelligence OS,IOS-05,Memory Architecture & Operations,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
Intelligence OS,IOS-06,Knowledge Architecture & Operations,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
Intelligence OS,IOS-07,Event Architecture & Event Operations,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
Intelligence OS,IOS-08,Capabilities & Capability Registry,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
Intelligence OS,IOS-09,Discovery & Service Resolution,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
Intelligence OS,IOS-10,Routing & Intelligent Dispatch,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
Intelligence OS,IOS-11,Orchestration Architecture,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
Intelligence OS,IOS-12,Execution & Execution Boundaries,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
Intelligence OS,IOS-13,Observability & System State,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
Intelligence OS,IOS-14,Decision Architecture,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
Intelligence OS,IOS-15,Learning & Feedback Operations,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
Intelligence OS,IOS-16,Trust Architecture,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
Intelligence OS,IOS-17,Proof Layer & EvidencePackage,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
Intelligence OS,IOS-18,Security & Zero Trust Operations,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
Intelligence OS,IOS-19,Resilience & Degraded Operations,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
Intelligence OS,IOS-20,Governance & Human Authority,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
Intelligence OS,IOS-21,Economics Primitive & Ecosystem Value Flows,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
Intelligence OS,IOS-22,Offline / Power-Loss / Recovery Operations,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
Intelligence OS,IOS-23,Intelligence OS Audit & Traceability,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
Intelligence OS,IOS-24,Intelligence OS Operator,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
Intelligence OS,IOS-25,Intelligence OS Administrator,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
CVLN Brain,BRN-01,CVLN Brain Foundations,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
CVLN Brain,BRN-02,Brain Context Interpretation,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
CVLN Brain,BRN-03,Brain Memory Retrieval,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
CVLN Brain,BRN-04,Knowledge Retrieval & Grounding,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
CVLN Brain,BRN-05,Signal & Event Interpretation,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
CVLN Brain,BRN-06,Ecosystem State Understanding,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
CVLN Brain,BRN-07,Decision Support,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
CVLN Brain,BRN-08,Recommendation & Prioritization,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
CVLN Brain,BRN-09,Planning & Task Decomposition,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
CVLN Brain,BRN-10,Cross-System Reasoning,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
CVLN Brain,BRN-11,"Confidence, Uncertainty & Evidence",SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
CVLN Brain,BRN-12,Human Validation & Escalation,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
CVLN Brain,BRN-13,Brain Learning & Feedback,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
CVLN Brain,BRN-14,Brain Evaluation & Quality Control,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
CVLN Brain,BRN-15,Brain Operator,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
Command Center,CMD-01,Command Center Foundations,SYSTEM_CVLN,INTERNAL_PRIVILEGED,Formation,CANDIDATE,
Command Center,CMD-02,Ecosystem Situation Awareness,SYSTEM_CVLN,INTERNAL_PRIVILEGED,Formation,CANDIDATE,
Command Center,CMD-03,Operational Dashboard & Signals,SYSTEM_CVLN,INTERNAL_PRIVILEGED,Formation,CANDIDATE,
Command Center,CMD-04,Mission & Workstream Supervision,SYSTEM_CVLN,INTERNAL_PRIVILEGED,Formation,CANDIDATE,
Command Center,CMD-05,Agent Fleet Supervision,SYSTEM_CVLN,INTERNAL_PRIVILEGED,Formation,CANDIDATE,
Command Center,CMD-06,Application & Service Health,SYSTEM_CVLN,INTERNAL_PRIVILEGED,Formation,CANDIDATE,
Command Center,CMD-07,"Alerts, Exceptions & Escalations",SYSTEM_CVLN,INTERNAL_PRIVILEGED,Formation,CANDIDATE,
Command Center,CMD-08,Incident Command,SYSTEM_CVLN,INTERNAL_PRIVILEGED,Formation,CANDIDATE,
Command Center,CMD-09,Decision Queue & Human Approval,SYSTEM_CVLN,INTERNAL_PRIVILEGED,Formation,CANDIDATE,
Command Center,CMD-10,Cross-Entity Operations,SYSTEM_CVLN,INTERNAL_PRIVILEGED,Formation,CANDIDATE,
Command Center,CMD-11,Strategic KPI & Objective Monitoring,SYSTEM_CVLN,INTERNAL_PRIVILEGED,Formation,CANDIDATE,
Command Center,CMD-12,Evidence & Audit Console,SYSTEM_CVLN,INTERNAL_PRIVILEGED,Formation,CANDIDATE,
Command Center,CMD-13,Degraded Mode & Continuity Command,SYSTEM_CVLN,INTERNAL_PRIVILEGED,Formation,CANDIDATE,
Command Center,CMD-14,Recovery & Return-to-Normal,SYSTEM_CVLN,INTERNAL_PRIVILEGED,Formation,CANDIDATE,
Command Center,CMD-15,Executive Command Operator,SYSTEM_CVLN,INTERNAL_PRIVILEGED,Formation,CANDIDATE,
Fondation Cœurvolan,FDC-36,Fondation Cœurvolan Foundations,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
Fondation Cœurvolan,FDC-37,Doctrine de transmission Cœurvolan,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
Fondation Cœurvolan,FDC-38,Cultural Memory Operator,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
Fondation Cœurvolan,FDC-39,Archive & Collection Operator,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
Fondation Cœurvolan,FDC-40,Oral History Operator,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
Fondation Cœurvolan,FDC-41,Heritage Documentation Operator,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
Fondation Cœurvolan,FDC-42,Cultural Program Operator,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
Fondation Cœurvolan,FDC-43,Grant & Beneficiary Operations,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
Fondation Cœurvolan,FDC-44,Institutional Partnership Operator,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
Fondation Cœurvolan,FDC-45,Impact & Evidence Operator,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
Fondation Cœurvolan,FDC-46,Collection Ethics & Consent Operator,SYSTEM_CVLN,INTERNAL_RESTRICTED,Formation,CANDIDATE,
