Domaine,Code,Intitulé,Dimension,Contexte,Type,Statut,Notes
Agent Factory / Laurentia,AF-X-04,Agent Factory × KORA — Media Operations Agents,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Agent Factory / Laurentia,AF-X-05,Agent Factory × LabelOS — Label Operations Agents,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Agent Factory / Laurentia,AF-X-06,Agent Factory × FMS — Studio & Production Agents,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Agent Factory / Laurentia,AF-X-07,Agent Factory × Kiltikonet — Cultural Network Agents,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Agent Factory / Laurentia,AF-X-08,Agent Factory × Wallet — Financial Agent Boundaries,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Agent Factory / Laurentia,AF-X-09,Laurentia × Full CVLN Ecosystem Orchestration,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Wallet/CVE,WAL-X-01,KORA × CVE × Wallet — Streaming Value Distribution,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Wallet/CVE,WAL-X-02,FMS × CVE × Wallet — Creative Production Economics,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Wallet/CVE,WAL-X-03,LabelOS × CVE × Wallet — Rights & Revenue Distribution,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Wallet/CVE,WAL-X-04,Kiltikonet × CVE × Wallet — Network Contribution Economics,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Wallet/CVE,WAL-X-05,Academy × CVE × Wallet — Learning & Mission Value,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Wallet/CVE,WAL-X-06,FREK × CVE × Wallet — Proven Value & Settlement,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Wallet/CVE,WAL-X-07,Agent Factory × Wallet — Financial Agent Boundaries,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Wallet/CVE,WAL-X-08,Intelligence OS × CVE — Economic Decision Intelligence,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Wallet/CVE,WAL-X-09,CVLN Ecosystem Economy Operations,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Gala Cook & Food,GCF-X-01,Gala Cook & Food × CVL Agro — Farm/Product-to-Kitchen,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Gala Cook & Food,GCF-X-02,"Gala Cook & Food × Hospitality — restauration, accueil et expérience",CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Gala Cook & Food,GCF-X-03,Gala Cook & Food × Good Mood — restauration événementielle/festival,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Gala Cook & Food,GCF-X-04,"Gala Cook & Food × Kiltikonet — producteurs, artisans, territoires et réseau culturel",CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Gala Cook & Food,GCF-X-05,"Gala Cook & Food × KORA — contenus culinaires, formats vidéo, storytelling et diffusion",CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Gala Cook & Food,GCF-X-06,Gala Cook & Food × FREK — provenance/traçabilité culturelle et preuve,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Gala Cook & Food,GCF-X-07,"Gala Cook & Food × Wallet/CVE — ventes, flux économiques et contribution",CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Gala Cook & Food,GCF-X-08,Gala Cook & Food × Academy — apprentissage → pratique → service réel → preuve,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Good Mood,GMD-X-01,Good Mood × FREK — Event Identity & Proof,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Good Mood,GMD-X-02,Good Mood × Wallet — Ticket-to-Wallet Operations,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Good Mood,GMD-X-03,Good Mood × CVE — Live Cultural Value & Contribution,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Good Mood,GMD-X-04,Good Mood × Kiltikonet — Cultural Network Activation,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Good Mood,GMD-X-05,Good Mood × KORA — Live-to-Media Pipeline,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Good Mood,GMD-X-06,Good Mood × FMS — Artist & Production Pipeline,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Good Mood,GMD-X-07,Good Mood × LabelOS — Release/Event Synchronization,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Good Mood,GMD-X-08,Good Mood × Gala Cook & Food — Festival Food Operations,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Good Mood,GMD-X-09,Good Mood × Academy — Mission-to-Experience Pipeline,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Blockchain / Tokenomics,BCI-X-01,Blockchain × FREK — Trusted Cultural Assets,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Blockchain / Tokenomics,BCI-X-02,Blockchain × CVE — Proven Cultural Value,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Blockchain / Tokenomics,BCI-X-03,Tokenomics × CVE — Cultural Incentive Engineering,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Blockchain / Tokenomics,BCI-X-04,Blockchain × Wallet — Digital Asset Settlement,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Blockchain / Tokenomics,BCI-X-05,Tokenomics × Wallet — Ecosystem Monetary Mechanics,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Blockchain / Tokenomics,BCI-X-06,Blockchain × LabelOS — Rights & Cultural Asset Infrastructure,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Blockchain / Tokenomics,BCI-X-07,Blockchain × KORA — Streaming & Programmable Cultural Economics,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Blockchain / Tokenomics,BCI-X-08,Blockchain × Kiltikonet — Network Incentive Systems,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Blockchain / Tokenomics,BCI-X-09,Blockchain × Academy — Learning Credentials & Digital Proof,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Blockchain / Tokenomics,BCI-X-10,Blockchain × Agent Factory — Autonomous Transaction Boundaries,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Blockchain / Tokenomics,BCI-X-11,Blockchain × Intelligence OS — Governed Protocol Operations,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Fondation Cœurvolan,FDC-X-01,Fondation × FREK — Cultural Provenance & Preservation,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Fondation Cœurvolan,FDC-X-02,Fondation × Kiltikonet — Living Cultural Network,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Fondation Cœurvolan,FDC-X-03,Fondation × KORA — Cultural Memory Media,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Fondation Cœurvolan,FDC-X-04,Fondation × FMS — Music Heritage Preservation,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Fondation Cœurvolan,FDC-X-05,Fondation × LabelOS — Catalog & Rights Preservation,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Fondation Cœurvolan,FDC-X-06,Fondation × Gala Cook & Food / Agro — Culinary Heritage,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Fondation Cœurvolan,FDC-X-07,Fondation × Good Mood — Live Cultural Memory,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Fondation Cœurvolan,FDC-X-08,Fondation × DJ SAYD — Living Artist Archive,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Fondation Cœurvolan,FDC-X-09,Fondation × Academy — Heritage-to-Learning,CROSS_ECOSYSTEM,BRIDGE,Cross-ecosystem competency,CANDIDATE,
Cross-CVLN,XCV-01,CVLN Ecosystem Foundations,CROSS_ECOSYSTEM,INTERNAL,Transversal,CANDIDATE,
Cross-CVLN,XCV-02,CVLN Ecosystem Architecture,CROSS_ECOSYSTEM,INTERNAL,Transversal,CANDIDATE,
Cross-CVLN,XCV-03,Cross-System Objects & Lifecycle,CROSS_ECOSYSTEM,INTERNAL,Transversal,CANDIDATE,
Cross-CVLN,XCV-04,Identity Across CVLN,CROSS_ECOSYSTEM,INTERNAL,Transversal,CANDIDATE,
Cross-CVLN,XCV-05,"Roles, Permissions & Authority",CROSS_ECOSYSTEM,INTERNAL,Transversal,CANDIDATE,
Cross-CVLN,XCV-06,Events & Interoperability,CROSS_ECOSYSTEM,INTERNAL,Transversal,CANDIDATE,
Cross-CVLN,XCV-07,"Evidence, Traceability & Audit",CROSS_ECOSYSTEM,INTERNAL,Transversal,CANDIDATE,
Cross-CVLN,XCV-08,Data Governance Across CVLN,CROSS_ECOSYSTEM,INTERNAL,Transversal,CANDIDATE,
Cross-CVLN,XCV-09,Human Authority & Escalation,CROSS_ECOSYSTEM,INTERNAL,Transversal,CANDIDATE,
Cross-CVLN,XCV-10,CVLN Operational Security,CROSS_ECOSYSTEM,INTERNAL,Transversal,CANDIDATE,
Cross-CVLN,XCV-11,Artist-to-Audience Pipeline,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-12,Creation-to-Master,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-13,Master-to-Trusted Asset,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-14,Trusted Asset-to-Release,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-15,Release-to-Streaming,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-16,Streaming-to-Audience,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-17,Audience-to-Community,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-18,Community-to-Opportunity,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-19,Activity-to-Value Pipeline,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-20,Cultural Activity & Event Signals,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-21,Evidence-to-Cultural Value,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-22,Cultural Contribution Attribution,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-23,CVE-to-Economic Allocation,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-24,Allocation-to-Wallet,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-25,Settlement & Economic Proof,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-26,Cross-Ecosystem Economic Audit,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-27,Learning-to-Opportunity Pipeline,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-28,Skill-to-Proof,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-29,Proof-to-Qualification,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-30,Qualification-to-Opportunity,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-31,Opportunity-to-Mission,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-32,Mission-to-Experience,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-33,Experience-to-Portfolio,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-34,Continuous Skill Development,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-35,Digital-to-Physical Learning,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-36,Spatial Ecosystem Navigation,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-37,Virtual-to-Studio — FMS,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-38,Virtual-to-Event — Good Mood,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-39,Virtual-to-Kitchen — Gala Cook & Food,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-40,Virtual-to-Hospitality,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-41,Virtual-to-Territory — Kiltikonet,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-42,Field Assessment & Evidence,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-43,Creation-to-Live Experience,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-44,Artist-to-Booking,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-45,Booking-to-Production,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-46,Production-to-Stage,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-47,Stage-to-Audience Experience,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-48,Live-to-Media,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-49,Live-to-Cultural Memory,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-50,Live-to-Economic Settlement,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-51,Creation-to-Cultural-Memory,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-52,Event-to-Archive,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-53,Artist-to-Living-Archive,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-54,Territory-to-Knowledge,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-55,Archive-to-Learning,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-56,Learning-to-New-Creation,CROSS_ECOSYSTEM,BRIDGE,Transversal,CANDIDATE,
Cross-CVLN,XCV-57,CVLN Intelligent Operations,CROSS_ECOSYSTEM,INTERNAL_RESTRICTED,Transversal,CANDIDATE,
Cross-CVLN,XCV-58,Intent-to-Context,CROSS_ECOSYSTEM,INTERNAL_RESTRICTED,Transversal,CANDIDATE,
Cross-CVLN,XCV-59,Context-to-Plan,CROSS_ECOSYSTEM,INTERNAL_RESTRICTED,Transversal,CANDIDATE,
Cross-CVLN,XCV-60,Plan-to-Agent,CROSS_ECOSYSTEM,INTERNAL_RESTRICTED,Transversal,CANDIDATE,
Cross-CVLN,XCV-61,Agent-to-Application,CROSS_ECOSYSTEM,INTERNAL_RESTRICTED,Transversal,CANDIDATE,
Cross-CVLN,XCV-62,Execution-to-Evidence,CROSS_ECOSYSTEM,INTERNAL_RESTRICTED,Transversal,CANDIDATE,
Cross-CVLN,XCV-63,Evidence-to-Decision,CROSS_ECOSYSTEM,INTERNAL_RESTRICTED,Transversal,CANDIDATE,
Cross-CVLN,XCV-64,Decision-to-Memory,CROSS_ECOSYSTEM,INTERNAL_RESTRICTED,Transversal,CANDIDATE,
Cross-CVLN,XCV-65,Autonomous Operations,CROSS_ECOSYSTEM,INTERNAL_RESTRICTED,Transversal,CANDIDATE,
Cross-CVLN,XCV-66,Human Takeover & Escalation,CROSS_ECOSYSTEM,INTERNAL_RESTRICTED,Transversal,CANDIDATE,
Cross-CVLN,XCV-67,CVLN Ecosystem Operator,CROSS_ECOSYSTEM,INTERNAL_RESTRICTED,Transversal,CANDIDATE,
